V5,V2
4.8,6.565
4.815,6.6
4.84,6.655
4.85,6.68
4.84,6.71
4.83,6.765
4.845,6.82
4.85,6.845
4.835,6.87
4.825,6.91
4.84,6.97
4.865,6.99
4.855,7.005
4.865,7.02
4.895,7.04
4.92,7.045
4.93,7.045
4.93,7.03
4.94,7.03
4.955,7.02
4.98,6.95
4.985,6.895
4.99,6.83
5.01,6.765
5.015,6.675
5.04,6.57
5.05,6.485
5.07,6.415
5.085,6.315
5.085,6.2
5.075,6.1
5.075,6.01
5.075,5.91
5.045,5.815
5.05,5.735
5.055,5.675
5.055,5.615
5.035,5.555
5.005,5.505
4.99,5.465
4.975,5.425
4.96,5.38
4.95,5.34
4.935,5.315
4.94,5.315
4.93,5.27
4.91,5.23
4.9,5.225
4.895,5.23
4.895,5.215
4.89,5.195
4.88,5.195
4.88,5.195
4.88,5.19
4.87,5.175
4.86,5.175
4.865,5.185
4.875,5.18
4.865,5.17
4.86,5.17
4.865,5.185
4.86,5.185
4.845,5.175
4.835,5.165
4.835,5.18
4.85,5.18
4.835,5.18
4.825,5.185
4.83,5.19
4.825,5.205
4.84,5.195
4.825,5.175
4.81,5.17
4.82,5.185
4.83,5.18
4.805,5.165
4.795,5.16
4.81,5.16
4.805,5.16
4.79,5.135
4.775,5.125
4.79,5.135
4.795,5.135
4.775,5.115
4.77,5.11
4.77,5.11
4.785,5.105
4.78,5.09
4.765,5.08
4.76,5.08
4.78,5.08
4.765,5.07
4.76,5.065
4.755,5.06
4.765,5.065
4.765,5.06
4.755,5.045
4.745,5.05
4.755,5.055
4.765,5.05
4.745,5.04
4.74,5.035
4.74,5.05
4.745,5.05
4.74,5.025
4.74,5.025
4.745,5.045
4.755,5.035
4.73,5.02
4.73,5.02
4.735,5.03
4.755,5.035
4.75,5.025
4.735,5.02
4.75,5.04
4.75,5.035
4.745,5.03
4.74,5.015
4.745,5.02
4.74,5.025
4.76,5.02
4.75,5.01
4.745,5.01
4.76,5.025
4.76,5.015
4.75,4.995
4.75,5.01
4.77,5.015
4.77,5.02
4.755,5.0
4.745,5.0
4.775,5.005
4.775,5.01
4.765,5.01
4.755,5.0
4.76,5.015
4.785,5.02
4.79,5.03
4.785,5.06
4.805,5.19
4.85,5.565
4.895,5.915
4.99,5.75
5.365,5.49
5.52,5.445
5.775,5.37
5.355,5.305
5.19,5.25
5.225,5.135
5.245,4.93
5.245,4.63
5.255,4.3
5.295,3.975
5.305,3.605
5.3,3.265
5.285,3.005
5.295,2.795
5.315,2.645
5.295,2.5
5.255,2.35
5.235,2.24
5.185,2.175
5.07,2.12
4.995,2.08
4.925,2.075
4.815,2.075
4.69,2.055
4.635,2.045
4.655,2.06
4.67,2.065
4.7,2.11
4.66,2.16
4.63,2.29
4.62,2.45
4.63,2.64
4.63,2.875
4.64,3.21
4.675,3.57
4.675,3.905
4.665,4.225
4.655,4.57
4.65,4.85
4.655,5.09
4.635,5.295
4.615,5.495
4.64,5.665
4.67,5.795
4.66,5.865
4.655,5.91
4.66,5.98
4.68,6.025
4.68,6.06
4.675,6.08
4.675,6.145
4.68,6.16
4.695,6.21
4.68,6.225
4.68,6.275
4.695,6.32
4.705,6.365
4.7,6.385
4.69,6.435
4.69,6.47
4.7,6.51
4.69,6.545
4.685,6.585
4.695,6.635
4.705,6.68
4.68,6.705
4.68,6.755
4.695,6.82
4.705,6.855
4.69,6.875
4.7,6.92
4.715,6.96
4.73,7.0
4.735,7.025
4.73,7.035
4.74,7.065
4.75,7.08
4.775,7.085
4.775,7.075
4.785,7.07
4.815,7.055
4.82,7.03
4.82,6.98
4.845,6.935
4.86,6.885
4.865,6.825
4.88,6.74
4.88,6.655
4.905,6.58
4.92,6.49
4.92,6.385
4.93,6.3
4.945,6.215
4.955,6.13
4.95,6.035
4.945,5.94
4.945,5.86
4.945,5.78
4.94,5.705
4.945,5.62
4.93,5.565
4.935,5.545
4.92,5.46
4.91,5.405
4.89,5.375
4.895,5.345
4.89,5.32
4.87,5.275
4.855,5.255
4.865,5.25
4.87,5.24
4.865,5.205
4.85,5.19
4.85,5.205
4.845,5.205
4.845,5.19
4.83,5.18
4.835,5.2
4.84,5.19
4.84,5.185
4.83,5.175
4.835,5.195
4.84,5.2
4.845,5.185
4.825,5.17
4.82,5.19
4.825,5.195
4.83,5.2
4.815,5.2
4.815,5.215
4.835,5.235
4.835,5.235
4.815,5.225
4.805,5.23
4.81,5.24
4.805,5.24
4.795,5.22
4.8,5.22
4.805,5.23
4.82,5.22
4.815,5.19
4.81,5.185
4.81,5.17
4.83,5.155
4.835,5.12
4.825,5.1
4.825,5.1
4.835,5.085
4.835,5.065
4.82,5.04
4.815,5.03
4.825,5.04
4.82,5.045
4.8,5.04
4.795,5.05
4.795,5.045
4.775,5.025
4.755,5.02
4.745,5.01
4.75,5.025
4.76,5.02
4.75,5.0
4.745,5.01
4.74,5.01
4.75,5.01
4.745,5.0
4.73,4.995
4.745,5.005
4.75,5.0
4.745,4.98
4.735,4.98
4.73,4.995
4.745,4.99
4.735,4.985
4.74,4.975
4.74,4.985
4.75,4.995
4.75,4.98
4.745,4.975
4.735,4.975
4.76,4.98
4.75,4.985
4.745,4.975
4.745,4.98
4.76,4.985
4.77,4.985
4.76,4.975
4.75,4.97
4.76,4.985
4.77,4.99
4.76,4.98
4.74,4.975
4.765,4.99
4.78,4.995
4.77,4.98
4.76,4.98
4.78,4.995
4.785,5.015
4.795,5.01
4.795,5.015
4.81,5.09
4.82,5.13
4.875,5.815
4.945,5.88
5.2,5.585
5.705,5.435
5.925,5.37
5.56,5.305
5.235,5.265
5.215,5.195
5.255,5.035
5.25,4.79
5.255,4.485
5.29,4.15
5.31,3.81
5.31,3.425
5.29,3.105
5.28,2.89
5.3,2.73
5.31,2.605
5.295,2.52
5.3,2.42
5.3,2.305
5.25,2.2
5.155,2.165
5.085,2.14
5.065,2.13
4.91,2.075
4.78,2.05
4.75,2.05
4.81,2.07
4.835,2.09
4.835,2.12
4.805,2.205
4.785,2.31
4.745,2.45
4.705,2.59
4.7,2.8
4.705,3.06
4.7,3.365
4.675,3.68
4.665,3.98
4.68,4.305
4.7,4.62
4.685,4.875
4.665,5.09
4.65,5.315
4.64,5.5
4.655,5.665
4.655,5.8
4.645,5.905
4.655,5.93
4.675,6.015
4.66,6.055
4.665,6.135
4.69,6.195
4.685,6.235
4.67,6.275
4.67,6.33
4.695,6.395
4.7,6.44
4.695,6.485
4.685,6.525
4.69,6.6
4.69,6.655
4.685,6.695
4.69,6.76
4.7,6.82
4.705,6.86
4.715,6.905
4.705,6.965
4.715,7.035
4.735,7.07
4.73,7.11
4.715,7.135
4.73,7.185
4.745,7.2
4.76,7.225
4.76,7.245
4.77,7.245
4.8,7.265
4.815,7.26
4.805,7.22
4.83,7.21
4.845,7.175
4.835,7.135
4.845,7.075
4.86,7.015
4.89,6.95
4.905,6.88
4.905,6.79
4.915,6.705
4.935,6.635
4.945,6.54
4.945,6.425
4.945,6.335
4.955,6.25
4.965,6.16
4.95,6.07
4.94,5.985
4.94,5.905
4.94,5.88
4.94,5.755
4.925,5.685
4.91,5.63
4.92,5.585
4.92,5.53
4.915,5.475
4.9,5.435
4.91,5.405
4.915,5.37
4.91,5.325
4.9,5.295
4.905,5.295
4.92,5.265
4.915,5.235
4.895,5.225
4.895,5.22
4.9,5.205
4.885,5.185
4.885,5.16
4.885,5.165
4.895,5.165
4.875,5.155
4.855,5.135
4.87,5.15
4.88,5.15
4.875,5.15
4.87,5.135
4.88,5.13
4.905,5.15
4.9,5.145
4.895,5.135
4.895,5.145
4.895,5.155
4.895,5.15
4.875,5.14
4.885,5.15
4.895,5.165
4.9,5.165
4.9,5.155
4.89,5.15
4.89,5.165
4.88,5.165
4.87,5.15
4.87,5.15
4.865,5.165
4.89,5.16
4.875,5.155
4.87,5.14
4.86,5.14
4.865,5.155
4.885,5.135
4.87,5.115
4.865,5.115
4.86,5.125
4.85,5.125
4.84,5.095
4.845,5.095
4.86,5.105
4.85,5.1
4.845,5.085
4.855,5.08
4.87,5.085
4.865,5.085
4.855,5.07
4.845,5.085
4.845,5.1
4.85,5.11
4.85,5.105
4.84,5.095
4.85,5.115
4.845,5.11
4.83,5.095
4.825,5.09
4.83,5.1
4.84,5.09
4.85,5.1
4.835,5.07
4.84,5.065
4.88,5.045
4.88,5.025
4.895,5.005
4.885,5.01
4.895,5.0
4.895,4.99
4.885,4.965
4.885,4.955
4.89,4.97
4.89,4.965
4.89,4.975
4.88,4.985
4.88,4.995
4.88,4.99
4.865,4.975
4.835,4.97
4.84,4.985
4.855,4.985
4.845,4.98
4.85,4.975
4.85,4.985
4.855,4.98
4.835,4.985
4.835,4.97
4.84,4.975
4.86,4.99
4.855,5.0
4.855,5.0
4.86,5.05
4.88,5.255
4.915,5.76
4.98,6.075
5.105,5.805
5.49,5.52
5.95,5.445
5.87,5.38
5.44,5.345
5.245,5.325
5.28,5.27
5.295,5.15
5.32,4.96
5.365,4.73
5.42,4.445
5.455,4.125
5.455,3.81
5.465,3.485
5.465,3.4
5.48,3.02
5.54,2.855
5.57,2.73
5.59,2.58
5.575,2.405
5.505,2.265
5.4,2.195
5.345,2.155
5.285,2.115
5.165,2.06
5.0,2.05
4.92,2.045
4.925,2.045
4.935,2.035
4.9,2.055
4.865,2.125
4.83,2.225
4.76,2.35
4.715,2.53
4.695,2.75
4.725,2.985
4.725,3.265
4.71,3.58
4.69,3.9
4.685,4.0
4.725,4.475
4.725,4.745
4.715,4.99
4.725,5.21
4.705,5.385
4.695,5.555
4.695,5.725
4.725,5.85
4.735,5.925
4.745,5.975
4.76,6.035
4.77,6.095
4.77,6.14
4.775,6.175
4.78,6.235
4.78,6.3
4.78,6.335
4.77,6.385
4.77,6.42
4.79,6.475
4.8,6.545
4.8,6.59
4.79,6.625
4.79,6.685
4.785,6.705
4.795,6.805
4.77,6.84
4.78,6.9
4.8,6.955
4.81,7.01
4.815,7.045
4.805,7.08
4.835,7.125
4.84,7.155
4.845,7.16
4.85,7.17
4.88,7.19
4.89,7.19
4.875,7.18
4.885,7.145
4.925,7.14
4.965,7.09
4.965,7.035
4.97,6.97
4.985,6.9
4.995,6.84
5.005,6.74
5.005,6.655
5.005,6.575
5.01,6.555
5.025,6.39
5.02,6.285
5.015,6.195
5.04,6.125
5.03,6.025
5.02,5.94
5.0,5.875
5.015,5.8
5.02,5.72
5.01,5.645
5.0,5.59
4.99,5.55
4.985,5.495
4.98,5.44
4.96,5.4
4.96,5.375
4.965,5.34
4.95,5.295
4.945,5.26
4.93,5.25
4.93,5.225
4.94,5.205
4.91,5.17
4.91,5.175
4.915,5.18
4.94,5.15
4.925,5.135
4.92,5.135
4.93,5.13
4.925,5.125
4.92,5.105
4.91,5.1
4.92,5.105
4.925,5.1
4.925,5.08
4.915,5.08
4.925,5.095
4.925,5.09
4.91,5.085
4.91,5.09
4.915,5.1
4.915,5.1
4.925,5.095
4.915,5.1
4.905,5.105
4.91,5.11
4.91,5.1
4.91,5.1
4.89,5.115
4.895,5.12
4.91,5.105
4.895,5.1
4.88,5.105
4.885,5.115
4.895,5.105
4.88,5.095
4.865,5.105
4.885,5.11
4.885,5.1
4.865,5.085
4.86,5.085
4.865,5.08
4.865,5.08
4.855,5.07
4.855,5.065
4.86,5.07
4.87,5.07
4.86,5.06
4.845,5.055
4.845,5.055
4.855,5.05
4.855,5.045
4.85,5.035
4.845,5.035
4.85,5.05
4.845,5.025
4.84,5.01
4.84,5.02
4.855,5.02
4.835,5.0
4.835,5.005
4.825,5.0
4.835,5.01
4.84,5.015
4.83,4.995
4.83,4.99
4.835,5.0
4.83,5.0
4.815,4.975
4.815,4.975
4.825,4.995
4.835,4.98
4.825,4.97
4.81,4.96
4.815,4.97
4.83,4.98
4.815,4.97
4.805,4.95
4.81,4.965
4.82,4.97
4.82,4.97
4.805,4.95
4.81,4.96
4.82,4.965
4.815,4.955
4.825,4.945
4.81,4.965
4.81,4.98
4.815,4.985
4.81,4.975
4.805,4.98
4.805,5.005
4.81,5.01
4.805,5.0
4.8,5.005
4.815,5.02
4.815,5.02
4.81,5.02
4.805,5.01
4.825,5.025
4.865,5.03
4.87,5.065
4.88,5.21
4.91,5.645
4.93,5.81
5.085,5.815
5.365,5.495
5.85,5.395
6.01,5.335
5.645,5.275
5.345,5.22
5.28,5.155
5.315,5.05
5.315,4.885
5.33,4.615
5.335,4.305
5.345,3.99
5.36,3.665
5.335,3.33
5.32,3.085
5.33,2.89
5.35,2.7
5.345,2.545
5.335,2.39
5.335,2.255
5.315,2.145
5.26,2.085
5.165,2.05
5.125,2.035
5.11,2.03
4.96,2.005
4.84,1.98
4.795,2.0
4.84,2.0
4.88,2.015
4.885,2.03
4.85,2.095
4.82,2.205
4.765,2.345
4.715,2.49
4.685,2.675
4.7,2.89
4.71,3.16
4.705,3.46
4.685,3.755
4.68,4.04
4.685,4.315
4.68,4.565
4.665,4.81
4.655,5.04
4.645,5.24
4.64,5.405
4.63,5.56
4.64,5.7
4.645,5.74
4.65,5.855
4.645,5.905
4.64,5.965
4.67,6.03
4.67,6.065
4.67,6.1
4.665,6.14
4.675,6.195
4.665,6.24
4.66,6.275
4.665,6.315
4.67,6.375
4.685,6.405
4.675,6.445
4.675,6.49
4.69,6.545
4.695,6.58
4.68,6.625
4.675,6.675
4.69,6.73
4.705,6.765
4.705,6.81
4.7,6.83
4.695,6.885
4.7,6.9
4.715,6.96
4.71,6.98
4.7,7.02
4.735,7.04
4.735,7.05
4.745,7.055
4.765,7.065
4.79,7.07
4.8,7.055
4.8,7.015
4.8,6.985
4.825,6.96
4.835,6.915
4.845,6.86
4.845,6.795
4.875,6.74
4.89,6.66
4.89,6.585
4.88,6.5
4.9,6.435
4.92,6.34
4.91,6.24
4.91,6.15
4.905,6.085
4.915,6.06
4.93,5.925
4.915,5.835
4.915,5.785
4.93,5.725
4.93,5.655
4.915,5.58
4.905,5.535
4.915,5.49
4.91,5.45
4.89,5.385
4.87,5.355
4.885,5.33
4.875,5.295
4.855,5.245
4.85,5.22
4.86,5.205
4.875,5.195
4.865,5.16
4.845,5.14
4.85,5.145
4.875,5.13
4.855,5.11
4.845,5.095
4.845,5.1
4.85,5.105
4.855,5.1
4.85,5.085
4.84,5.085
4.86,5.09
4.86,5.085
4.865,5.07
4.845,5.085
4.86,5.09
4.865,5.09
4.865,5.08
4.855,5.09
4.86,5.105
4.87,5.095
4.855,5.09
4.855,5.09
4.86,5.1
4.865,5.1
4.855,5.095
4.86,5.085
4.85,5.11
4.87,5.1
4.85,5.1
4.84,5.095
4.84,5.11
4.85,5.11
4.855,5.1
4.84,5.09
4.835,5.085
4.845,5.095
4.845,5.085
4.835,5.075
4.83,5.07
4.83,5.08
4.84,5.07
4.825,5.06
4.82,5.055
4.83,5.05
4.83,5.05
4.825,5.03
4.82,5.03
4.815,5.04
4.82,5.035
4.815,5.025
4.795,5.02
4.805,5.02
4.825,5.005
4.82,5.0
4.795,4.985
4.805,5.005
4.81,5.0
4.81,4.995
4.805,4.98
4.805,4.985
4.815,4.99
4.825,4.99
4.805,4.975
4.8,4.975
4.815,4.975
4.825,4.97
4.805,4.955
4.795,4.955
4.81,4.975
4.815,4.965
4.8,4.95
4.79,4.95
4.795,4.965
4.82,4.955
4.81,4.945
4.8,4.945
4.8,4.945
4.82,4.95
4.815,4.945
4.795,4.935
4.8,4.94
4.805,4.95
4.805,4.945
4.805,4.925
4.8,4.94
4.805,4.95
4.81,4.935
4.805,4.925
4.805,4.93
4.82,4.935
4.83,4.935
4.83,4.925
4.815,4.94
4.82,4.945
4.835,4.955
4.825,4.97
4.83,4.97
4.855,5.045
4.875,5.36
4.91,5.84
4.99,5.79
5.22,5.485
5.695,5.375
5.85,5.31
5.485,5.255
5.25,5.195
5.225,5.175
5.28,4.915
5.285,4.65
5.285,4.32
5.32,3.98
5.335,3.62
5.315,3.25
5.275,2.975
5.3,2.76
5.31,2.565
5.305,2.44
5.27,2.3
5.255,2.18
5.22,2.09
5.13,2.025
5.045,2.005
4.99,1.995
4.91,1.975
4.765,1.965
4.7,1.95
4.73,1.965
4.785,1.98
4.815,1.975
4.81,2.005
4.765,2.075
4.75,2.1
4.72,2.325
4.715,2.515
4.72,2.795
4.74,3.135
4.755,3.5
4.73,3.81
4.71,4.15
4.715,4.475
4.71,4.765
4.685,4.995
4.655,5.23
4.655,5.445
4.67,5.625
4.68,5.735
4.675,5.815
4.67,5.88
4.675,5.93
4.67,5.955
4.66,5.995
4.655,6.04
4.665,6.075
4.655,6.1
4.635,6.125
4.64,6.18
4.645,6.2
4.64,6.235
4.63,6.265
4.625,6.325
4.64,6.36
4.635,6.395
4.615,6.43
4.61,6.475
4.62,6.535
4.63,6.575
4.62,6.61
4.63,6.665
4.65,6.73
4.66,6.765
4.665,6.795
4.65,6.84
4.665,6.88
4.685,6.925
4.695,6.95
4.69,6.975
4.71,7.025
4.725,7.035
4.735,7.045
4.735,7.035
4.765,7.065
4.78,7.07
4.8,7.035
4.805,7.0
4.835,6.99
4.85,6.945
4.87,6.895
4.87,6.83
4.88,6.765
4.905,6.685
4.93,6.595
4.94,6.505
4.945,6.41
4.97,6.33
4.975,6.23
4.945,6.125
4.955,6.025
4.97,5.945
4.98,5.855
4.99,5.765
4.975,5.68
4.965,5.635
4.955,5.58
4.94,5.505
4.94,5.445
4.945,5.415
4.94,5.405
4.95,5.325
4.925,5.295
4.91,5.285
4.91,5.255
4.905,5.225
4.91,5.215
4.895,5.205
4.895,5.21
4.91,5.2
4.9,5.17
4.91,5.16
4.925,5.17
4.92,5.175
4.88,5.15
4.87,5.155
4.88,5.155
4.885,5.155
4.89,5.135
4.885,5.14
4.88,5.16
4.89,5.155
4.875,5.15
4.865,5.14
4.87,5.155
4.88,5.165
4.89,5.16
4.87,5.15
4.875,5.155
4.89,5.155
4.885,5.15
4.86,5.135
4.855,5.13
4.865,5.14
4.875,5.135
4.88,5.125
4.87,5.11
4.885,5.13
4.89,5.115
4.88,5.1
4.86,5.09
4.85,5.09
4.86,5.095
4.86,5.085
4.84,5.065
4.85,5.065
4.86,5.065
4.855,5.05
4.83,5.05
4.845,5.045
4.855,5.045
4.855,5.04
4.83,5.015
4.83,5.025
4.855,5.03
4.85,5.015
4.83,5.005
4.83,5.005
4.845,5.02
4.84,5.0
4.825,4.99
4.81,4.995
4.815,4.995
4.835,4.99
4.835,4.975
4.82,4.97
4.83,4.995
4.84,4.985
4.83,4.975
4.815,4.965
4.825,4.975
4.84,4.975
4.84,4.97
4.82,4.955
4.815,4.97
4.82,4.98
4.83,4.955
4.83,4.945
4.835,4.96
4.85,4.96
4.85,4.96
4.825,4.945
4.83,4.955
4.855,4.96
4.855,4.965
4.845,4.945
4.835,4.95
4.855,4.965
4.865,4.955
4.87,4.94
4.85,4.935
4.86,4.95
4.865,4.95
4.855,4.955
4.835,4.95
4.835,4.965
4.855,4.96
4.885,4.975
4.89,5.03
4.91,5.3
4.92,5.435
5.025,5.955
5.205,5.575
5.715,5.41
5.965,5.37
5.615,5.31
5.325,5.225
5.31,5.12
5.355,4.915
5.365,4.625
5.375,4.255
5.385,3.865
5.395,3.47
5.37,3.1
5.35,2.805
5.36,2.585
5.38,2.455
5.385,2.305
5.355,2.14
5.29,2.065
5.185,2.025
5.08,2.0
4.965,1.965
4.805,1.955
4.7,1.955
4.68,1.965
4.715,1.96
4.725,1.96
4.715,2.025
4.705,2.105
4.67,2.24
4.64,2.43
4.655,2.685
4.69,3.025
4.725,3.39
4.735,3.72
4.74,4.08
4.765,4.44
4.775,4.745
4.755,5.005
4.74,5.265
4.74,5.51
4.785,5.7
4.8,5.825
4.8,5.9
4.81,5.975
4.81,6.015
4.815,6.05
4.81,6.085
4.825,6.15
4.83,6.17
4.835,6.22
4.815,6.26
4.84,6.295
4.88,6.315
4.91,6.34
4.89,6.35
4.88,6.38
4.895,6.42
4.905,6.445
4.895,6.48
4.88,6.525
4.88,6.575
4.885,6.63
4.885,6.675
4.875,6.72
4.875,6.755
4.865,6.795
4.835,6.82
4.8,6.85
4.81,6.89
4.84,6.92
4.865,6.94
4.86,6.955
4.87,6.97
4.865,6.975
4.875,6.96
4.87,6.945
4.875,6.92
4.895,6.9
4.89,6.855
4.905,6.805
4.925,6.755
4.955,6.69
4.975,6.615
4.98,6.52
4.995,6.435
5.03,6.36
5.04,6.265
5.04,6.155
5.03,6.055
5.04,5.975
5.04,5.89
5.04,5.79
5.04,5.71
5.06,5.655
5.045,5.575
5.035,5.525
5.0,5.465
4.995,5.43
5.0,5.42
5.015,5.335
4.995,5.29
5.0,5.275
4.995,5.255
4.985,5.225
4.965,5.2
4.95,5.195
4.96,5.185
4.96,5.18
4.94,5.16
4.935,5.16
4.94,5.16
4.945,5.155
4.94,5.155
4.925,5.15
4.925,5.16
4.935,5.155
4.93,5.155
4.92,5.145
4.925,5.155
4.935,5.16
4.92,5.15
4.915,5.135
4.905,5.165
4.91,5.17
4.915,5.155
4.9,5.155
4.9,5.155
4.9,5.155
4.905,5.155
4.9,5.135
4.9,5.135
4.905,5.145
4.905,5.14
4.89,5.12
4.88,5.125
4.895,5.125
4.9,5.115
4.89,5.1
4.87,5.1
4.87,5.095
4.885,5.085
4.875,5.065
4.86,5.07
4.865,5.07
4.88,5.055
4.87,5.045
4.845,5.04
4.855,5.055
4.86,5.045
4.87,5.025
4.86,5.015
4.855,5.015
4.87,5.02
4.87,5.015
4.855,4.995
4.845,5.005
4.86,5.005
4.855,5.005
4.845,4.985
4.84,4.985
4.86,5.0
4.865,4.99
4.845,4.985
4.85,4.98
4.85,4.99
4.85,4.98
4.845,4.97
4.835,4.96
4.845,4.975
4.85,4.975
4.84,4.96
4.82,4.95
4.83,4.975
4.835,4.98
4.845,4.96
4.83,4.96
4.83,4.965
4.845,4.97
4.845,4.96
4.825,4.955
4.83,4.955
4.84,4.965
4.845,4.955
4.835,4.955
4.835,4.96
4.85,4.96
4.865,4.965
4.86,4.955
4.835,4.95
4.855,4.985
4.86,4.985
4.855,4.99
4.855,5.025
4.87,5.165
4.905,5.565
4.94,6.01
5.01,5.875
5.28,5.55
5.41,5.48
5.915,5.38
5.535,5.325
5.275,5.27
5.28,5.185
5.315,5.03
5.325,4.775
5.34,4.465
5.375,4.1
5.39,3.705
5.38,3.335
5.355,3.04
5.37,2.795
5.385,2.605
5.365,2.45
5.325,2.28
5.295,2.165
5.22,2.095
5.115,2.045
5.035,2.02
4.96,2.005
4.835,1.99
4.71,1.985
4.665,1.97
4.7,1.99
4.72,2.0
4.72,2.04
4.67,2.12
4.65,2.27
4.66,2.47
4.665,2.675
4.68,2.94
4.7,3.28
4.73,3.63
4.73,3.97
4.735,4.285
4.73,4.62
4.725,4.9
4.735,5.135
4.7,5.35
4.695,5.555
4.725,5.725
4.73,5.82
4.73,5.87
4.73,5.935
4.745,6.005
4.76,6.05
4.76,6.08
4.75,6.12
4.755,6.165
4.75,6.185
4.765,6.23
4.755,6.25
4.745,6.3
4.76,6.355
4.755,6.385
4.735,6.415
4.735,6.465
4.75,6.52
4.755,6.56
4.75,6.61
4.75,6.67
4.755,6.73
4.765,6.785
4.745,6.82
4.755,6.865
4.76,6.91
4.78,6.935
4.785,6.955
4.795,6.985
4.82,7.025
4.84,7.055
4.85,7.055
4.845,7.055
4.85,7.055
4.855,7.065
4.87,7.02
4.875,6.99
4.885,6.975
4.915,6.945
4.925,6.91
4.925,6.84
4.915,6.78
4.925,6.71
4.93,6.63
4.925,6.535
4.945,6.445
4.965,6.37
4.98,6.27
4.97,6.165
4.96,6.075
4.99,5.995
4.99,5.905
4.98,5.82
4.97,5.735
4.97,5.68
4.975,5.61
4.96,5.545
4.945,5.49
4.945,5.445
4.95,5.425
4.935,5.36
4.915,5.32
4.91,5.305
4.92,5.27
4.9,5.25
4.905,5.235
4.88,5.225
4.895,5.22
4.9,5.215
4.89,5.195
4.88,5.2
4.88,5.215
4.89,5.2
4.875,5.195
4.86,5.19
4.87,5.215
4.875,5.22
4.875,5.205
4.865,5.2
4.88,5.22
4.875,5.22
4.88,5.21
4.86,5.195
4.86,5.225
4.86,5.22
4.86,5.21
4.855,5.2
4.85,5.21
4.85,5.21
4.86,5.195
4.845,5.185
4.84,5.18
4.855,5.19
4.845,5.18
4.835,5.155
4.83,5.15
4.84,5.16
4.84,5.145
4.83,5.12
4.815,5.12
4.82,5.13
4.825,5.12
4.82,5.105
4.81,5.09
4.82,5.1
4.82,5.1
4.82,5.07
